2026-03-03 21:59:17+05:30 [info] → Available ATS Agents {"0":"Java_Playwright","1":"Java_Selenium","2":"TypeScript_Cypress","3":"Java_Appium","4":"Java_Selenium_Cucumber","5":"XCUITest","6":"C#_Playwright"}
2026-03-03 21:59:17+05:30 [info] → Server started
2026-03-03 21:59:17+05:30 [error] → DB connection failed {"retryInSec":5}
2026-03-03 21:59:17+05:30 [info] → Starting Cognitest Server...
2026-03-03 21:59:17+05:30 [info] → Running startup cleanup for orphaned jobs...
2026-03-03 21:59:17+05:30 [info] → Cleanup: Marked 0 stale 'In Progress' jobs as 'System Failed'.
2026-03-03 21:59:17+05:30 [info] → Starting job reaper with 30min TTL, running every 5min
2026-03-03 21:59:17+05:30 [info] → Running stuck job reaper...
2026-03-03 21:59:17+05:30 [info] → Running schema migrations...
2026-03-03 21:59:21+05:30 [info] → Schema migrations completed
2026-03-03 21:59:21+05:30 [info] → Running data migrations...
2026-03-03 21:59:21+05:30 [info] → Stuck job reaper completed
2026-03-03 21:59:21+05:30 [info] → Data migrations completed
2026-03-03 21:59:21+05:30 [info] → Cognitest Server running on port 3000
2026-03-03 21:59:21+05:30 [info] → Before entering the isProduction block
2026-03-03 21:59:22+05:30 [info] → events called for SSE
2026-03-03 21:59:22+05:30 [info] → userID events: 61
2026-03-03 22:04:17+05:30 [info] → Running stuck job reaper...
2026-03-03 22:04:17+05:30 [info] → Stuck job reaper completed
2026-03-03 22:09:17+05:30 [info] → Running stuck job reaper...
2026-03-03 22:09:17+05:30 [info] → Stuck job reaper completed
2026-03-03 22:14:17+05:30 [info] → Running stuck job reaper...
2026-03-03 22:14:17+05:30 [info] → Stuck job reaper completed
2026-03-03 22:19:17+05:30 [info] → Running stuck job reaper...
2026-03-03 22:19:17+05:30 [info] → Stuck job reaper completed
2026-03-03 22:24:17+05:30 [info] → Running stuck job reaper...
2026-03-03 22:24:17+05:30 [info] → Stuck job reaper completed
2026-03-03 22:29:17+05:30 [info] → Running stuck job reaper...
2026-03-03 22:29:17+05:30 [info] → Stuck job reaper completed
2026-03-03 22:34:17+05:30 [info] → Running stuck job reaper...
2026-03-03 22:34:17+05:30 [info] → Stuck job reaper completed
2026-03-03 22:39:17+05:30 [info] → Running stuck job reaper...
2026-03-03 22:39:17+05:30 [info] → Stuck job reaper completed
2026-03-03 22:44:17+05:30 [info] → Running stuck job reaper...
2026-03-03 22:44:17+05:30 [info] → Stuck job reaper completed
2026-03-03 22:49:17+05:30 [info] → Running stuck job reaper...
2026-03-03 22:49:17+05:30 [info] → Stuck job reaper completed
2026-03-03 22:54:17+05:30 [info] → Running stuck job reaper...
2026-03-03 22:54:17+05:30 [info] → Stuck job reaper completed
2026-03-03 22:59:17+05:30 [info] → Running stuck job reaper...
2026-03-03 22:59:17+05:30 [info] → Stuck job reaper completed
2026-03-03 23:04:17+05:30 [info] → Running stuck job reaper...
2026-03-03 23:04:17+05:30 [info] → Stuck job reaper completed
2026-03-03 23:09:17+05:30 [info] → Running stuck job reaper...
2026-03-03 23:09:17+05:30 [info] → Stuck job reaper completed
2026-03-03 23:14:17+05:30 [info] → Running stuck job reaper...
2026-03-03 23:14:17+05:30 [info] → Stuck job reaper completed
2026-03-03 23:19:17+05:30 [info] → Running stuck job reaper...
2026-03-03 23:19:17+05:30 [info] → Stuck job reaper completed
2026-03-03 23:24:17+05:30 [info] → Running stuck job reaper...
2026-03-03 23:24:17+05:30 [info] → Stuck job reaper completed
2026-03-03 23:29:17+05:30 [info] → Running stuck job reaper...
2026-03-03 23:29:17+05:30 [info] → Stuck job reaper completed
2026-03-03 23:34:17+05:30 [info] → Running stuck job reaper...
2026-03-03 23:34:17+05:30 [info] → Stuck job reaper completed
2026-03-03 23:39:17+05:30 [info] → Running stuck job reaper...
2026-03-03 23:39:17+05:30 [info] → Stuck job reaper completed
2026-03-03 23:44:17+05:30 [info] → Running stuck job reaper...
2026-03-03 23:44:17+05:30 [info] → Stuck job reaper completed
2026-03-03 23:49:17+05:30 [info] → Running stuck job reaper...
2026-03-03 23:49:17+05:30 [info] → Stuck job reaper completed
2026-03-03 23:54:17+05:30 [info] → Running stuck job reaper...
2026-03-03 23:54:17+05:30 [info] → Stuck job reaper completed
2026-03-03 23:59:17+05:30 [info] → Running stuck job reaper...
2026-03-03 23:59:17+05:30 [info] → Stuck job reaper completed
2026-03-04 00:04:17+05:30 [info] → Running stuck job reaper...
2026-03-04 00:04:17+05:30 [info] → Stuck job reaper completed
2026-03-04 00:09:17+05:30 [info] → Running stuck job reaper...
2026-03-04 00:09:17+05:30 [info] → Stuck job reaper completed
2026-03-04 00:14:17+05:30 [info] → Running stuck job reaper...
2026-03-04 00:14:17+05:30 [info] → Stuck job reaper completed
2026-03-04 00:19:17+05:30 [info] → Running stuck job reaper...
2026-03-04 00:19:17+05:30 [info] → Stuck job reaper completed
2026-03-04 00:24:17+05:30 [info] → Running stuck job reaper...
2026-03-04 00:24:17+05:30 [info] → Stuck job reaper completed
2026-03-04 00:29:17+05:30 [info] → Running stuck job reaper...
2026-03-04 00:29:17+05:30 [info] → Stuck job reaper completed
2026-03-04 00:34:17+05:30 [info] → Running stuck job reaper...
2026-03-04 00:34:17+05:30 [info] → Stuck job reaper completed
2026-03-04 00:39:17+05:30 [info] → Running stuck job reaper...
2026-03-04 00:39:17+05:30 [info] → Stuck job reaper completed
2026-03-04 00:44:17+05:30 [info] → Running stuck job reaper...
2026-03-04 00:44:17+05:30 [info] → Stuck job reaper completed
2026-03-04 00:49:17+05:30 [info] → Running stuck job reaper...
2026-03-04 00:49:17+05:30 [info] → Stuck job reaper completed
2026-03-04 00:54:17+05:30 [info] → Running stuck job reaper...
2026-03-04 00:54:17+05:30 [info] → Stuck job reaper completed
2026-03-04 00:59:17+05:30 [info] → Running stuck job reaper...
2026-03-04 00:59:17+05:30 [info] → Stuck job reaper completed
2026-03-04 01:04:17+05:30 [info] → Running stuck job reaper...
2026-03-04 01:04:17+05:30 [info] → Stuck job reaper completed
2026-03-04 01:09:17+05:30 [info] → Running stuck job reaper...
2026-03-04 01:09:17+05:30 [info] → Stuck job reaper completed
2026-03-04 01:14:17+05:30 [info] → Running stuck job reaper...
2026-03-04 01:14:17+05:30 [info] → Stuck job reaper completed
2026-03-04 01:19:17+05:30 [info] → Running stuck job reaper...
2026-03-04 01:19:17+05:30 [info] → Stuck job reaper completed
2026-03-04 01:24:17+05:30 [info] → Running stuck job reaper...
2026-03-04 01:24:17+05:30 [info] → Stuck job reaper completed
2026-03-04 01:29:17+05:30 [info] → Running stuck job reaper...
2026-03-04 01:29:17+05:30 [info] → Stuck job reaper completed
2026-03-04 01:34:17+05:30 [info] → Running stuck job reaper...
2026-03-04 01:34:17+05:30 [info] → Stuck job reaper completed
2026-03-04 01:39:17+05:30 [info] → Running stuck job reaper...
2026-03-04 01:39:17+05:30 [info] → Stuck job reaper completed
2026-03-04 01:44:17+05:30 [info] → Running stuck job reaper...
2026-03-04 01:44:17+05:30 [info] → Stuck job reaper completed
2026-03-04 01:49:17+05:30 [info] → Running stuck job reaper...
2026-03-04 01:49:17+05:30 [info] → Stuck job reaper completed
2026-03-04 01:54:17+05:30 [info] → Running stuck job reaper...
2026-03-04 01:54:17+05:30 [info] → Stuck job reaper completed
2026-03-04 01:59:17+05:30 [info] → Running stuck job reaper...
2026-03-04 01:59:17+05:30 [info] → Stuck job reaper completed
2026-03-04 02:04:17+05:30 [info] → Running stuck job reaper...
2026-03-04 02:04:17+05:30 [info] → Stuck job reaper completed
2026-03-04 02:09:17+05:30 [info] → Running stuck job reaper...
2026-03-04 02:09:17+05:30 [info] → Stuck job reaper completed
2026-03-04 02:14:17+05:30 [info] → Running stuck job reaper...
2026-03-04 02:14:17+05:30 [info] → Stuck job reaper completed
2026-03-04 02:19:17+05:30 [info] → Running stuck job reaper...
2026-03-04 02:19:17+05:30 [info] → Stuck job reaper completed
2026-03-04 02:24:17+05:30 [info] → Running stuck job reaper...
2026-03-04 02:24:17+05:30 [info] → Stuck job reaper completed
2026-03-04 02:29:17+05:30 [info] → Running stuck job reaper...
2026-03-04 02:29:17+05:30 [info] → Stuck job reaper completed
2026-03-04 02:34:17+05:30 [info] → Running stuck job reaper...
2026-03-04 02:34:17+05:30 [info] → Stuck job reaper completed
2026-03-04 02:39:17+05:30 [info] → Running stuck job reaper...
2026-03-04 02:39:17+05:30 [info] → Stuck job reaper completed
2026-03-04 02:44:17+05:30 [info] → Running stuck job reaper...
2026-03-04 02:44:17+05:30 [info] → Stuck job reaper completed
2026-03-04 02:49:17+05:30 [info] → Running stuck job reaper...
2026-03-04 02:49:17+05:30 [info] → Stuck job reaper completed
2026-03-04 02:54:17+05:30 [info] → Running stuck job reaper...
2026-03-04 02:54:17+05:30 [info] → Stuck job reaper completed
2026-03-04 02:59:17+05:30 [info] → Running stuck job reaper...
2026-03-04 02:59:17+05:30 [info] → Stuck job reaper completed
2026-03-04 03:04:17+05:30 [info] → Running stuck job reaper...
2026-03-04 03:04:17+05:30 [info] → Stuck job reaper completed
2026-03-04 03:09:17+05:30 [info] → Running stuck job reaper...
2026-03-04 03:09:17+05:30 [info] → Stuck job reaper completed
2026-03-04 03:14:17+05:30 [info] → Running stuck job reaper...
2026-03-04 03:14:17+05:30 [info] → Stuck job reaper completed
2026-03-04 03:19:17+05:30 [info] → Running stuck job reaper...
2026-03-04 03:19:17+05:30 [info] → Stuck job reaper completed
2026-03-04 03:24:17+05:30 [info] → Running stuck job reaper...
2026-03-04 03:24:17+05:30 [info] → Stuck job reaper completed
2026-03-04 03:29:17+05:30 [info] → Running stuck job reaper...
2026-03-04 03:29:17+05:30 [info] → Stuck job reaper completed
2026-03-04 03:34:17+05:30 [info] → Running stuck job reaper...
2026-03-04 03:34:17+05:30 [info] → Stuck job reaper completed
2026-03-04 03:39:17+05:30 [info] → Running stuck job reaper...
2026-03-04 03:39:17+05:30 [info] → Stuck job reaper completed
2026-03-04 03:44:17+05:30 [info] → Running stuck job reaper...
2026-03-04 03:44:17+05:30 [info] → Stuck job reaper completed
2026-03-04 03:49:17+05:30 [info] → Running stuck job reaper...
2026-03-04 03:49:17+05:30 [info] → Stuck job reaper completed
2026-03-04 03:54:17+05:30 [info] → Running stuck job reaper...
2026-03-04 03:54:17+05:30 [info] → Stuck job reaper completed
2026-03-04 03:59:17+05:30 [info] → Running stuck job reaper...
2026-03-04 03:59:17+05:30 [info] → Stuck job reaper completed
2026-03-04 04:04:17+05:30 [info] → Running stuck job reaper...
2026-03-04 04:04:17+05:30 [info] → Stuck job reaper completed
2026-03-04 04:09:17+05:30 [info] → Running stuck job reaper...
2026-03-04 04:09:17+05:30 [info] → Stuck job reaper completed
2026-03-04 04:14:17+05:30 [info] → Running stuck job reaper...
2026-03-04 04:14:17+05:30 [info] → Stuck job reaper completed
2026-03-04 04:19:17+05:30 [info] → Running stuck job reaper...
2026-03-04 04:19:17+05:30 [info] → Stuck job reaper completed
2026-03-04 04:24:17+05:30 [info] → Running stuck job reaper...
2026-03-04 04:24:17+05:30 [info] → Stuck job reaper completed
2026-03-04 04:29:17+05:30 [info] → Running stuck job reaper...
2026-03-04 04:29:17+05:30 [info] → Stuck job reaper completed
2026-03-04 04:34:17+05:30 [info] → Running stuck job reaper...
2026-03-04 04:34:17+05:30 [info] → Stuck job reaper completed
2026-03-04 04:39:17+05:30 [info] → Running stuck job reaper...
2026-03-04 04:39:17+05:30 [info] → Stuck job reaper completed
2026-03-04 04:44:17+05:30 [info] → Running stuck job reaper...
2026-03-04 04:44:17+05:30 [info] → Stuck job reaper completed
2026-03-04 04:49:17+05:30 [info] → Running stuck job reaper...
2026-03-04 04:49:17+05:30 [info] → Stuck job reaper completed
2026-03-04 04:54:17+05:30 [info] → Running stuck job reaper...
2026-03-04 04:54:17+05:30 [info] → Stuck job reaper completed
2026-03-04 04:59:17+05:30 [info] → Running stuck job reaper...
2026-03-04 04:59:17+05:30 [info] → Stuck job reaper completed
2026-03-04 05:04:17+05:30 [info] → Running stuck job reaper...
2026-03-04 05:04:17+05:30 [info] → Stuck job reaper completed
2026-03-04 05:09:17+05:30 [info] → Running stuck job reaper...
2026-03-04 05:09:17+05:30 [info] → Stuck job reaper completed
2026-03-04 05:14:17+05:30 [info] → Running stuck job reaper...
2026-03-04 05:14:17+05:30 [info] → Stuck job reaper completed
2026-03-04 05:19:17+05:30 [info] → Running stuck job reaper...
2026-03-04 05:19:17+05:30 [info] → Stuck job reaper completed
2026-03-04 05:24:17+05:30 [info] → Running stuck job reaper...
2026-03-04 05:24:17+05:30 [info] → Stuck job reaper completed
2026-03-04 05:29:17+05:30 [info] → Running stuck job reaper...
2026-03-04 05:29:17+05:30 [info] → Stuck job reaper completed
